"id","ma","ten","ma_cha","last_update","trang_thai"
474,VNB-TTQLKTCSHT,Trung tâm Quản lý khai thác cơ sở hạ tầng phía Nam,VNB,"2026-06-05 02:26:01.118967",
393,NCT,Công Ty Cổ Phần Dịch Vụ Hàng Hóa Nội Bài,CTC,"2026-06-05 02:26:01.118967",
464,VNB-CNQN,Chi nhánh TCTHKVN - CTCP tại Quy Nhơn,VNB,"2026-06-05 02:26:01.118967",
391,NAS,Công Ty Cổ Phần Dịch Vụ Hàng Không Sân Bay Nội Bài,CTC,"2026-06-05 02:26:01.118967",
378,KHB-SAI,Chi nhánh TCTHKVN – CTCP tại Siem Reap (SAI),KHB,"2026-06-05 02:26:01.118967",
359,IAD,Ban Kiểm toán nội bộ,TMU,"2026-06-05 02:26:01.118967",
352,GLC-PTCT,Phòng Phát triển Chương trình,GLC,"2026-06-05 02:26:01.118967",
410,PSD-QHKH,Phòng Quan hệ khách hàng và Quản trị hệ thống,PSD,"2026-06-05 02:26:01.118967",
416,SMD-QTCPKT,Phòng Quản trị chi phí kỹ thuật,SMD,"2026-06-05 02:26:01.118967",
390,MMB,Chi nhánh TCTHKVN - CTCP tại Myanmar,TM,"2026-06-05 02:26:01.118967",
573,OCC-KHKN,Phòng Quản lý Ứng phó Khủng hoảng và Khẩn nguy,OCC,"2026-06-05 02:26:01.118967",
445,VAS-HAN,Chi nhánh TCTHKVN - CTCP tại Hà Nội,VAS,"2026-06-05 02:26:01.118967",
344,FTC,Chi nhánh TCTHKVN - CTCP - Trung tâm Huấn luyện bay,KTB,"2026-06-05 02:26:01.118967",
419,SQD-ATCLKTB,Phòng An toàn-Chất lượng Khai thác bay,SQD,"2026-06-05 02:26:01.118967",
379,LAB,Chi nhánh TCTHKVN - CTCP tại Lào,TM,"2026-06-05 02:26:01.118967",
279,ALS,Công Ty Cổ Phần Cung ứng Lao động Hàng không,CTC,"2026-06-05 02:26:01.118967",
540,ASD-TCANHK,Phòng Tiêu chuẩn An ninh hàng không,ASD,"2026-06-05 02:26:01.118967",
364,IPD,Ban Đầu tư - Mua sắm,TMU,"2026-06-05 02:26:01.118967",
451,VAS-VCS,Chi nhánh TCTHKVN - CTCP tại Côn Đảo,VAS,"2026-06-05 02:26:01.118967",
306,CCD-ATCL,Phòng An toàn - Chất lượng,CCD,"2026-06-05 02:26:01.118967",
542,PHB,Chi nhánh TCTHKVN - CTCP tại Philippines,TM,"2026-06-05 02:26:01.118967",
302,CBD-SKTT,Phòng Sự kiện - Tài trợ,CBD,"2026-06-05 02:26:01.118967",
411,RUB,Chi nhánh TCTHKVN - CTCP tại Nga,TM,"2026-06-05 02:26:01.118967",
360,IAD-KTHĐKD,Phòng Kiểm toán hoạt động kinh doanh,IAD,"2026-06-05 02:26:01.118967",
526,IND-BOM,Sân bay Mumbai (BOM),INB,"2026-06-05 02:26:01.118967",
434,USB,Chi nhánh TCTHKVN - CTCP tại Mỹ,TM,"2026-06-05 02:26:01.118967",
343,FRB,Chi nhánh TCTHKVN - CTCP tại Pháp,TM,"2026-06-05 02:26:01.118967",
466,VNB-CNV,Chi nhánh TCTHKVN - CTCP tại Vinh,VNB,"2026-06-05 02:26:01.118967",
296,CAD,Văn phòng Tổng công ty,TMU,"2026-06-05 02:26:01.118967",
321,CPM,Ban Kế hoạch và Tiếp thị hàng hóa,TM,"2026-06-05 02:26:01.118967",
420,SQD-ATCLKTMĐ,Phòng An toàn-Chất lượng Khai thác mặt đất,SQD,"2026-06-05 02:26:01.118967",
457,VNB-CNCL,Chi nhánh TCTHKVN - CTCP tại Chu Lai,VNB,"2026-06-05 02:26:01.118967",
